Learning Rate	Train Loss1	Train Loss2	
0.100000	2.919487	2.523205	
0.100000	2.624675	2.113739	
0.100000	1.963629	1.901526	
0.100000	2.251464	1.678759	
0.100000	2.024292	1.237372	
0.100000	1.787142	1.253794	
0.100000	1.681345	1.381228	
0.100000	1.540939	1.103450	
0.100000	1.532736	1.357875	
0.100000	1.530579	1.304017	
0.100000	1.525357	1.233839	
0.100000	1.529723	1.164418	
0.100000	1.233311	0.957056	
0.100000	1.726974	1.430060	
0.100000	1.329582	1.191168	
0.100000	1.274729	1.073791	
0.100000	1.659848	1.341834	
0.100000	1.552060	1.230011	
0.100000	1.631628	1.341012	
0.100000	1.558393	1.183754	
0.100000	1.424583	1.118233	
0.100000	1.268283	1.085677	
0.100000	1.460629	1.326342	
0.100000	1.375445	1.060878	
0.100000	1.486279	1.134195	
0.100000	1.573647	1.386919	
0.100000	1.797074	1.461082	
0.100000	1.305742	1.157665	
0.100000	1.169791	1.099848	
0.100000	1.209434	0.924094	
0.100000	1.010842	0.913600	
0.100000	1.233017	0.985189	
0.100000	1.357317	1.120038	
0.100000	1.304998	1.136259	
0.100000	1.413512	1.281846	
0.100000	1.386945	1.230245	
0.100000	1.889785	1.804407	
0.100000	1.193506	1.011819	
0.100000	1.197409	1.245457	
0.100000	1.383983	1.182909	
0.100000	1.346461	1.085549	
0.100000	1.264845	1.106786	
0.100000	1.256328	1.122016	
0.100000	1.250697	1.108978	
0.100000	1.392637	1.263616	
0.100000	1.121174	0.974216	
0.100000	1.084089	0.990665	
0.100000	1.206040	1.124600	
0.100000	1.297699	1.070311	
0.100000	1.260674	0.893852	
0.100000	1.114126	0.941249	
0.100000	1.125229	0.940177	
0.100000	1.293768	0.889035	
0.100000	1.136962	1.039778	
0.100000	1.180284	0.873419	
0.100000	1.222895	1.088546	
0.100000	1.123877	1.046390	
0.100000	1.053774	0.944279	
0.100000	1.275809	1.088699	
0.100000	0.897227	0.815268	
0.100000	1.028284	0.998431	
0.100000	1.249611	0.972850	
0.100000	1.233962	0.981620	
0.100000	1.542292	1.240072	
0.100000	1.244033	1.015985	
0.100000	0.988828	0.935470	
0.100000	1.169840	1.079717	
0.100000	1.107468	0.834419	
0.100000	1.342114	1.144540	
0.100000	0.972157	0.929282	
0.100000	1.101271	0.839932	
0.100000	1.311410	1.294423	
0.100000	0.977343	0.887245	
0.100000	1.093506	0.922805	
0.100000	1.708245	1.681110	
0.100000	1.295324	1.286452	
0.100000	1.266498	1.141248	
0.100000	1.007568	0.883379	
0.100000	1.149894	1.023290	
0.100000	1.288594	1.162082	
0.100000	1.182241	1.001830	
0.100000	1.253337	1.043512	
0.100000	1.260760	1.146729	
0.100000	0.897367	0.688170	
0.100000	1.136997	0.959082	
0.100000	0.987091	0.964955	
0.100000	1.301568	1.030023	
0.100000	1.149503	1.116278	
0.100000	1.296876	1.256058	
0.100000	1.139672	1.024867	
0.100000	0.901423	0.744926	
0.100000	1.201550	0.957897	
0.100000	1.019768	1.011397	
0.100000	1.240118	1.005226	
0.100000	1.166527	1.173356	
0.100000	1.163141	1.022159	
0.100000	1.423392	1.250489	
0.100000	1.166503	1.094144	
0.100000	1.283321	1.100487	
0.100000	1.879457	1.880709	
0.100000	1.350680	1.294495	
0.100000	0.933627	0.942481	
0.100000	1.105523	1.136047	
0.100000	1.178714	1.072282	
