Learning Rate	Train Loss1	Train Loss2	
0.100000	2.784799	2.534263	
0.100000	2.426559	2.114434	
0.100000	2.206794	1.633584	
0.100000	2.115370	1.492325	
0.100000	1.868531	1.315441	
0.100000	1.550331	1.166197	
0.100000	1.649049	1.552960	
0.100000	1.462143	1.247716	
0.100000	1.559311	1.301021	
0.100000	1.348638	1.219262	
0.100000	1.268254	1.071241	
0.100000	1.389605	1.013277	
0.100000	1.334244	1.135182	
0.100000	1.347900	1.203376	
0.100000	1.800855	1.639538	
0.100000	1.339680	1.052666	
0.100000	1.335874	1.275691	
0.100000	1.341596	1.208345	
0.100000	1.477628	1.214783	
0.100000	1.486607	1.425697	
0.100000	1.367578	1.416238	
0.100000	1.387489	1.167083	
0.100000	1.295482	1.066727	
0.100000	1.468451	1.255669	
0.100000	1.293927	1.078951	
0.100000	1.222418	1.059973	
0.100000	1.246824	1.149157	
0.100000	1.258397	1.018202	
0.100000	1.523546	1.308186	
0.100000	1.333375	1.206710	
0.100000	1.254500	1.131361	
0.100000	1.326112	1.084649	
0.100000	1.140219	1.057984	
0.100000	1.174267	1.138987	
0.100000	1.564393	1.425912	
0.100000	1.104041	1.014931	
0.100000	1.333536	0.986765	
0.100000	1.272636	1.118336	
0.100000	1.170843	0.929746	
0.100000	1.382083	1.194530	
0.100000	1.375094	1.191914	
0.100000	1.055932	0.991942	
0.100000	1.252099	1.105568	
0.100000	1.138505	1.234362	
0.100000	1.090150	0.998371	
0.100000	1.350989	1.006704	
0.100000	1.191432	0.941754	
0.100000	1.330967	1.034721	
0.100000	1.171885	1.152040	
0.100000	1.257795	1.072522	
0.100000	1.211244	1.120738	
0.100000	1.370448	1.176353	
0.100000	1.255506	1.113628	
0.100000	1.096765	0.864953	
0.100000	1.265175	1.108471	
0.100000	1.561509	1.240735	
0.100000	1.301696	1.117452	
0.100000	1.248134	1.169609	
0.100000	1.285923	1.123987	
0.100000	1.491881	1.327684	
0.100000	1.263910	1.067084	
0.100000	1.211975	0.995077	
0.100000	1.398332	1.248408	
0.100000	0.971473	0.823657	
0.100000	1.217744	1.015558	
0.100000	1.116524	0.780038	
0.100000	1.263536	1.134601	
0.100000	1.319483	1.094456	
0.100000	1.214500	1.219772	
0.100000	0.910921	0.691051	
0.100000	1.476789	1.191692	
0.100000	0.923995	0.866837	
0.100000	1.150625	1.016933	
0.100000	0.991787	0.908704	
0.100000	1.220295	1.142433	
0.100000	0.988830	1.034143	
0.100000	1.374606	1.304204	
0.100000	1.018084	0.898349	
0.100000	1.055889	1.033427	
0.100000	1.381987	1.310923	
0.100000	1.063335	1.016292	
0.100000	1.008542	0.838395	
0.100000	1.233093	1.016025	
0.100000	1.341688	1.217530	
0.100000	1.015783	0.913004	
0.100000	1.130020	0.930821	
0.100000	1.085047	1.080120	
0.100000	1.072845	0.997518	
0.100000	1.137151	0.946721	
0.100000	1.062673	0.938660	
0.100000	1.253362	1.164522	
0.100000	1.055975	1.074815	
0.100000	1.265922	1.020889	
0.100000	1.282498	1.142637	
0.100000	1.061900	0.935956	
0.100000	1.188675	1.116619	
0.100000	0.843680	0.810020	
0.100000	1.214267	1.120032	
0.100000	1.263257	1.100655	
0.100000	1.045710	0.970871	
0.100000	1.012998	1.012561	
0.100000	0.937417	0.825805	
0.100000	1.195245	0.946604	
0.100000	1.226066	0.908184	
0.100000	1.106046	1.023127	
0.100000	1.161240	1.114943	
0.100000	1.120731	1.049393	
0.100000	1.114884	1.013734	
0.100000	1.003316	1.013645	
0.100000	1.011426	1.047556	
0.100000	0.921402	0.886701	
0.100000	1.023814	0.917800	
0.100000	0.933607	0.800056	
0.100000	1.114784	1.080248	
0.100000	1.280037	1.051633	
0.100000	1.218265	1.073112	
0.100000	1.299812	1.140094	
0.100000	1.497248	1.268736	
0.100000	1.118483	1.033132	
0.100000	1.687546	1.518418	
0.100000	1.031024	0.900389	
0.100000	1.199849	1.076035	
0.100000	1.151669	0.932406	
0.100000	1.185917	0.843330	
0.100000	1.131741	1.034446	
0.100000	1.066651	0.853776	
0.100000	1.227032	1.124886	
0.100000	1.152242	1.091237	
0.100000	0.958694	0.902576	
0.100000	1.105497	1.003524	
0.100000	1.079346	0.983109	
0.100000	1.557756	1.335058	
0.100000	1.414642	1.315792	
0.100000	0.902108	0.808480	
0.100000	0.947422	0.936630	
0.100000	1.269295	1.159676	
0.100000	0.912280	0.879341	
0.100000	1.024656	0.992175	
0.100000	1.056538	0.966202	
0.100000	1.029865	0.917197	
0.100000	1.206179	1.202283	
0.100000	1.078723	0.884652	
0.100000	1.234795	1.027363	
0.100000	1.184232	0.925448	
0.100000	1.254758	1.124603	
0.100000	1.300228	1.056443	
0.100000	1.189547	1.124088	
0.100000	0.973180	0.976516	
0.100000	1.544376	1.290688	
0.100000	1.007751	0.970098	
0.100000	0.970550	0.913527	
0.100000	0.954491	0.939439	
0.100000	0.929614	0.792548	
0.100000	1.082788	1.111154	
0.100000	1.634919	1.494502	
0.100000	1.090780	0.909243	
0.100000	1.462051	1.227391	
0.100000	0.927123	0.838572	
0.100000	1.124044	1.076592	
0.100000	0.987110	0.913982	
0.100000	1.076061	1.119041	
0.100000	1.018708	0.975461	
0.100000	1.132846	1.017834	
0.100000	1.007915	1.019335	
0.100000	0.966771	1.059531	
0.100000	1.087086	1.018032	
0.100000	0.982415	1.004073	
0.100000	0.886149	0.916425	
0.100000	1.115526	1.094910	
0.100000	0.941690	0.885051	
0.100000	0.897587	0.799713	
0.100000	1.313194	1.270539	
0.100000	1.207822	1.173934	
0.100000	1.087580	0.893745	
0.100000	1.207504	1.153590	
0.100000	1.134694	1.000095	
0.100000	1.137928	1.200104	
0.100000	0.826947	0.906391	
0.100000	1.190265	0.984290	
0.100000	1.357815	1.181910	
0.100000	1.228897	1.260318	
0.100000	0.873814	0.958843	
0.100000	1.398909	1.346620	
0.100000	0.926827	0.913069	
0.100000	1.323842	1.264596	
0.100000	1.060803	0.818909	
0.100000	0.973970	0.915689	
0.100000	1.235474	1.071825	
0.100000	0.983322	0.980812	
0.100000	1.111104	1.053586	
0.100000	1.182205	0.914418	
0.100000	0.996044	0.988386	
0.100000	0.825041	0.817715	
0.100000	0.992968	0.998761	
0.100000	1.147599	0.979589	
0.100000	0.912765	0.803958	
0.100000	1.002284	0.907863	
0.100000	0.866441	0.693182	
0.100000	1.247634	1.021954	
0.100000	1.195146	1.085547	
0.100000	1.195126	1.056776	
0.100000	0.823945	0.726978	
0.100000	1.650766	1.479411	
0.100000	1.051006	0.857539	
0.100000	1.030336	0.877127	
0.100000	1.162783	1.102418	
0.100000	1.031770	0.863568	
0.100000	0.950005	0.842728	
0.100000	0.958200	0.878836	
0.100000	0.978287	0.742189	
0.100000	1.026316	0.924972	
0.100000	1.025136	0.946055	
0.100000	1.011386	0.966872	
0.100000	0.953767	0.886403	
0.100000	0.889937	0.722492	
0.100000	1.548615	1.700144	
0.100000	1.305220	1.200961	
0.100000	0.867520	0.875504	
0.100000	1.360662	1.124049	
